0000: ACCESSORIES_CONNECTED_BITMASK
06B4: SOLAR_PIPE_FUNCTION
06B5: SOLAR_PRIO_DHW_BLOCK_TEMP
06B7: SOLAR_SOUTHEUROPE
06B8: SOLAR_T1_HIGH
06B9: SOLAR_T1_LOW
06BA: SOLAR_T1_MAX_TEMP
06BB: SOLAR_T1_MIN_TEMP
06BC: SOLAR_T7_HIGH
06BD: SOLAR_T7_MAX_TEMP
06BE: SOLAR_T7_RESTART_DIFF
06BF: STATS_COMPRESSOR_DHW
06C3: STATS_COMPRESSOR_DHW_2
06C7: STATS_COMPRESSOR_HEATING
06CB: STATS_COMPRESSOR_HEATING_2
06CF: STATS_COMPRESSOR_HZ_DHW
06D3: STATS_COMPRESSOR_HZ_HEATING
06D7: STATS_COMPRESSOR_POOL
06DB: STATS_COMPRESSOR_POOL_2
06DF: STATS_COMPRESSOR_RESET
06E0: STATS_COMPRESSOR_START_DHW
06E4: STATS_COMPRESSOR_START_DHW_2
06E8: STATS_COMPRESSOR_START_HEATING
06EC: STATS_COMPRESSOR_START_HEATING_2
06F0: STATS_COMPRESSOR_START_POOL
06F4: STATS_COMPRESSOR_START_POOL_2
06F8: STATS_CONTACTOR_1
06FC: STATS_CONTACTOR_2
0700: STATS_CONTACTOR_RESET
0701: STATS_CONTROL
0705: STATS_CONTROL_RESET
0706: STATS_ELECTR_ADD_DHW
070A: STATS_ELECTR_ADD_HEATING
070E: STATS_ELECTR_ADD_POOL
0712: STATS_ELECTR_ADD_RESET
0713: STATS_ENERGY_HIDE_MENU
0714: STATS_ENERGY_OUTPUT
0718: STATS_ENERGY_OUTPUT_DHW
071C: STATS_ENERGY_OUTPUT_HEATING
0720: STATS_ENERGY_OUTPUT_POOL
0724: STATS_OP_DHW
0728: STATS_OP_HEATING
072C: STATS_OP_RESET
072D: STATS_RESET
072E: STATS_ST_COMPRESSOR_AVERAGE_HZ_DHW
072F: STATS_ST_COMPRESSOR_AVERAGE_HZ_HEATING
0730: STATS_ST_COMPRESSOR_DHW
0734: STATS_ST_COMPRESSOR_DHW_2
0738: STATS_ST_COMPRESSOR_HEATING
073C: STATS_ST_COMPRESSOR_HEATING_2
0740: STATS_ST_COMPRESSOR_HZ_DHW
0744: STATS_ST_COMPRESSOR_HZ_HEATING
0748: STATS_ST_COMPRESSOR_HZ_POOL
074C: STATS_ST_COMPRESSOR_POOL
0750: STATS_ST_COMPRESSOR_POOL_2
0754: STATS_ST_COMPRESSOR_RESET
0755: STATS_ST_COMPRESSOR_START_DHW
0759: STATS_ST_COMPRESSOR_START_DHW_2
075D: STATS_ST_COMPRESSOR_START_HEATING
0761: STATS_ST_COMPRESSOR_START_HEATING_2
0765: STATS_ST_COMPRESSOR_START_POOL
0769: STATS_ST_COMPRESSOR_START_POOL_2
076D: STATS_ST_COMPRESSOR_START_RESET
076E: STATS_ST_CONTACTOR_1
0772: STATS_ST_CONTACTOR_2
0776: STATS_ST_CONTACTOR_RESET
0777: STATS_ST_ELECTR_ADD_DHW
077B: STATS_ST_ELECTR_ADD_HEATING
077F: STATS_ST_ELECTR_ADD_POOL
0783: STATS_ST_ELECTR_ADD_RESET
0784: STATS_ST_OP_DHW
0788: STATS_ST_OP_HEATING
078C: STATS_ST_OP_RESET
078D: STATS_ST_RESET
078E: SUMMARY_ALARM_MODE
078F: TEMP
0793: TILLSKOTT_DRIFTTILLSTAND
0794: TILLSKOTT_RAMP_TID
0795: TILLSKOTT_UTSIGNAL_UT
0797: UI_BRAND
0798: USER_CONFIRMATION
0799: USER_CONFIRMATION_OBJECT
079A: VS_DIREKTSTART_GRANS
079B: VS_DIREKTSTOPP_GRANS
079C: XDHW_COMPRESSOR_REQUEST
079D: XDHW_COMPRESSOR_REQUEST_2
079E: XDHW_REQUEST
079F: XDHW_STOP_TEMP
07A1: XDHW_TIME
07A2: XDHW_WEEKPROGRAM_DAY
07A3: XDHW_WEEKPROGRAM_DURATION_TIME
07A4: XDHW_WEEKPROGRAM_FAILED
07A5: XDHW_WEEKPROGRAM_HOUR
07A6: XDHW_WEEKPROGRAM_MAX_TIME
07A7: XDHW_WEEKPROGRAM_REQUEST
07A8: XDHW_WEEKPROGRAM_STOP_TEMP
07AA: XDHW_WEEKPROGRAM_WEEK
07AB: XDHW_WEEKPROGRAM_WARM_KEEPING_TIMER
07AC: VV_MAX_TIMER
07AD: XDHW_TIMER
07AE: VV_RAD_TIMER
07AF: RAD_MAX_TIMER
07B0: RAD_BEHOV_BLOCKERING_TIMER
07B1: DEGREE_MINUTE_SAMPLE_TIMER
07B2: HEATING_SEASON_START_DELAY_TIMER
07B3: FREEZEGUARD_DELAY_TIMER
07B4: TILLSKOTT_RAMP_TIMER
07B5: COMPRESSOR_STARTUP_TIMER
07B6: COMPRESSOR_START_TIMER
07B7: COMPRESSOR_START_DELAY_TIMER
07B8: EXERCISE_TIMER
07B9: ADDITIONAL_TEMP_LIMIT_TIMER
07BA: PUMP_G1_OPTIMIZED_TIMER
07BB: PUMP_G2_TEMP_BLOCK_TIMER
07BC: PUMP_G2_TEMP_BLOCK_TIMER_2
07BD: HEATING_SEASON_STOP_DELAY_TIMER
07BE: ALARM_MODE_DELAY_TIMER
07BF: LARMSUMMER_DELAY_TIMER
07C0: LARMSUMMER_INTERVAL_TIMER
07C1: SCREENSAVER_TIMER
07C2: QUICKMENU_TIMER
07C3: COOLING_FAN_STOP_DELAY_TIMER
07C4: TILLSKOTT_START_TIMER
07C5: LP_LARM_DELAY_TIMER
07C6: LP_2_LARM_DELAY_TIMER
07C7: DEFROST_MAX_TIMER
07C8: DEFROST_MAX_TIMER_2
07C9: DEFROST_MIN_BREAK_TIMER
07CA: DEFROST_MIN_BREAK_TIMER_2
07CB: DEFROST_BLOCK_TIMER
07CC: DEFROST_BLOCK_TIMER_2
07CD: DEFROST_FAN_TIMER
07CE: DEFROST_FAN_TIMER_2
07CF: DEFROST_DELTA_TIMER
07D0: DEFROST_DELTA_TIMER_2
07D1: HEATING_CABLE_TIMER
07D2: HEATING_CABLE_TIMER_2
07D3: ADDITIONAL_BLOCK_HIGH_T2_TIMER
07D4: NEUTRALZONE_LIMITATION_TIMER
07D5: ADDITIONAL_EXTERNAL_HEAT_VALVE_DELAY_TIMER
07D6: T8_T9_DELAY_TIMER
07D7: T8_T9_2_DELAY_TIMER
07D8: T8_T9_DELAY_AFTER_SWITCH_TIMER
07D9: T8_T9_2_DELAY_AFTER_SWITCH_TIMER
07DA: T10_T11_DELAY_TIMER
07DB: T10_T11_2_DELAY_TIMER
07DC: T10_T11_DELAY_AFTER_SWITCH_TIMER
07DD: T10_T11_2_DELAY_AFTER_SWITCH_TIMER
07DE: ADDITIONAL_LIMITATION_DEFROST_DELAY_TIMER
07DF: POOL_ADDITIONALHEAT_DELAY_TIMER
07E0: HEATING_START_DELAY_TIMER
07E1: HEATING_STOP_DELAY_TIMER
07E2: SCREED_DRYING_TIMER
07E3: COMPRESSOR_START_TIMER_2
07E4: COMPRESSOR_START_DELAY_TIMER_2
07E5: ENVELOPE_BLOCK_AFTER_VV_TIMER
07E6: ENVELOPE_BLOCK_AFTER_HG_TIMER
07E7: ENVELOPE_2_BLOCK_AFTER_VV_TIMER
07E8: ENVELOPE_2_BLOCK_AFTER_HG_TIMER
07E9: ENVELOPE_BLOCK_AFTER_GT2_LOW_TIMER
07EA: ENVELOPE_2_BLOCK_AFTER_GT2_LOW_TIMER
07EB: PARTY_MODE_TIMER
07EC: D_VALVE_STARTUP_TIMER
07ED: POOL_START_DELAY_TIMER
07EE: ADDITIONAL_SYNCH_VALVE_TIMER
07EF: DHW_PROTECTIVE_ANODE_ALERT_DELAY_TIMER
07F0: TIMER_DEFROST_DELAY_COMPRESSOR_START
07F1: TIMER_DEFROST_DELAY_4_WAY_VALVE_SWITCH
07F2: TIMER_DEFROST_DELAY_COMPRESSOR_2_START
07F3: TIMER_DEFROST_DELAY_4_WAY_VALVE_2_SWITCH
07F4: TIMER_SOLAR_PIPE_DELAY
07F5: TIMER_SOLAR_PIPE_EXERCISE
07F6: TIMER_SOLAR_T1_HIGH
07F7: TIMER_SOLAR_T1_LOW
07F8: LP_STOP_MAX_TIMER
07F9: HP_STOP_MAX_TIMER
07FA: LP_STOP_MAX_TIMER_2
07FB: HP_STOP_MAX_TIMER_2
07FC: TIMER_G2_AFTER_XDHW
07FD: TIMER_SOLAR_T1_DELAY_BEFORE_SHORT_CIRCUIT
07FE: TIMER_SOLAR_T1_CONTROLLED_RISE
07FF: TIMER_CIRCULATION_G2_ADJUST_TIMER
0800: TIMER_DHW_E21_COMPRESSOR_TEMPORARY_STOP_DELAY
0801: TIMER_DHW_E22_COMPRESSOR_TEMPORARY_STOP_DELAY
0802: TIMER_ACCESS_LEVEL
0803: TIMER_CIRCULATION_E21_G2_TEMPORARY_STOP
0804: TIMER_CIRCULATION_E22_G2_TEMPORARY_STOP
0805: TIMER_COMMUNICATION_BAD_CANBUS_REBOOT_DELAY
